[2024-12-05 11:03:40.579 AM] error: 	Autentication Failed false
[2024-12-05 11:03:40.601 AM] info: 	Autentication Success
[2024-12-05 11:03:40.601 AM] info: 	BEFORE DB Get Connection
[2024-12-05 11:03:40.635 AM] info: 	BEFORE DB Execution
[2024-12-05 11:03:40.671 AM] info: 	AFTER DB Execution Success
[2024-12-05 11:03:40.672 AM] info: 	BEFORE DB Connection Close
[2024-12-05 11:03:40.672 AM] info: 	BEFORE DB Get Connection
[2024-12-05 11:03:40.675 AM] info: 	AFTER DB Connection Close
[2024-12-05 11:03:40.705 AM] info: 	BEFORE DB Execution
[2024-12-05 11:03:40.749 AM] info: 	AFTER DB Execution Success
[2024-12-05 11:03:40.749 AM] info: 	BEFORE DB Connection Close
[2024-12-05 11:03:40.760 AM] info: 	AFTER DB Connection Close
[2024-12-05 11:03:41.942 AM] info: 	BEFORE DB Get Connection
[2024-12-05 11:03:41.988 AM] info: 	BEFORE DB Execution
[2024-12-05 11:03:42.018 AM] info: 	AFTER DB Execution Success
[2024-12-05 11:03:42.018 AM] info: 	BEFORE DB Connection Close
[2024-12-05 11:03:42.018 AM] info: 	BEFORE DB Get Connection
[2024-12-05 11:03:42.020 AM] info: 	AFTER DB Connection Close
[2024-12-05 11:03:42.041 AM] info: 	BEFORE DB Execution
[2024-12-05 11:03:42.062 AM] info: 	AFTER DB Execution Success
[2024-12-05 11:03:42.063 AM] info: 	BEFORE DB Connection Close
[2024-12-05 11:03:42.063 AM] info: 	BEFORE DB Get Connection
[2024-12-05 11:03:42.065 AM] info: 	AFTER DB Connection Close
[2024-12-05 11:03:42.086 AM] info: 	BEFORE DB Execution
[2024-12-05 11:03:42.087 AM] info: 	AFTER DB Execution Success
[2024-12-05 11:03:42.087 AM] info: 	BEFORE DB Connection Close
[2024-12-05 11:03:42.087 AM] info: 	BEFORE DB Get Connection
[2024-12-05 11:03:42.089 AM] info: 	AFTER DB Connection Close
[2024-12-05 11:03:42.109 AM] info: 	BEFORE DB Execution
[2024-12-05 11:03:42.110 AM] info: 	AFTER DB Execution Success
[2024-12-05 11:03:42.110 AM] info: 	BEFORE DB Connection Close
[2024-12-05 11:03:42.111 AM] info: 	BEFORE DB Get Connection
[2024-12-05 11:03:42.112 AM] info: 	AFTER DB Connection Close
[2024-12-05 11:03:42.133 AM] info: 	BEFORE DB Execution
[2024-12-05 11:03:42.134 AM] info: 	AFTER DB Execution Success
[2024-12-05 11:03:42.134 AM] info: 	BEFORE DB Connection Close
[2024-12-05 11:03:42.134 AM] info: 	BEFORE DB Get Connection
[2024-12-05 11:03:42.136 AM] info: 	AFTER DB Connection Close
[2024-12-05 11:03:42.156 AM] info: 	BEFORE DB Execution
[2024-12-05 11:03:42.158 AM] info: 	AFTER DB Execution Success
[2024-12-05 11:03:42.158 AM] info: 	BEFORE DB Connection Close
[2024-12-05 11:03:42.163 AM] info: 	AFTER DB Connection Close
[2024-12-05 11:03:43.004 AM] info: 	BEFORE DB Get Connection
[2024-12-05 11:03:43.038 AM] info: 	BEFORE DB Execution
[2024-12-05 11:03:43.042 AM] info: 	BEFORE DB Get Connection
[2024-12-05 11:03:43.042 AM] info: 	AFTER DB Execution Success
[2024-12-05 11:03:43.043 AM] info: 	BEFORE DB Connection Close
[2024-12-05 11:03:43.043 AM] info: 	BEFORE DB Get Connection
[2024-12-05 11:03:43.045 AM] info: 	AFTER DB Connection Close
[2024-12-05 11:03:43.069 AM] info: 	BEFORE DB Execution
[2024-12-05 11:03:43.072 AM] info: 	AFTER DB Execution Success
[2024-12-05 11:03:43.072 AM] info: 	BEFORE DB Connection Close
[2024-12-05 11:03:43.072 AM] info: 	BEFORE DB Get Connection
[2024-12-05 11:03:43.074 AM] info: 	AFTER DB Connection Close
[2024-12-05 11:03:43.075 AM] info: 	BEFORE DB Execution
[2024-12-05 11:03:43.077 AM] info: 	AFTER DB Execution Success
[2024-12-05 11:03:43.077 AM] info: 	BEFORE DB Connection Close
[2024-12-05 11:03:43.077 AM] info: 	BEFORE DB Get Connection
[2024-12-05 11:03:43.079 AM] info: 	AFTER DB Connection Close
[2024-12-05 11:03:43.102 AM] info: 	BEFORE DB Execution
[2024-12-05 11:03:43.128 AM] info: 	BEFORE DB Execution
[2024-12-05 11:03:43.132 AM] info: 	AFTER DB Execution Success
[2024-12-05 11:03:43.132 AM] info: 	BEFORE DB Connection Close
[2024-12-05 11:03:43.132 AM] info: 	BEFORE DB Get Connection
[2024-12-05 11:03:43.135 AM] info: 	AFTER DB Connection Close
[2024-12-05 11:03:43.166 AM] info: 	BEFORE DB Execution
[2024-12-05 11:03:43.173 AM] info: 	AFTER DB Execution Success
[2024-12-05 11:03:43.173 AM] info: 	BEFORE DB Connection Close
[2024-12-05 11:03:43.174 AM] info: 	BEFORE DB Get Connection
[2024-12-05 11:03:43.179 AM] info: 	AFTER DB Connection Close
[2024-12-05 11:03:43.181 AM] info: 	AFTER DB Execution Success
[2024-12-05 11:03:43.181 AM] info: 	BEFORE DB Connection Close
