[2024-12-12 11:49:17.895 AM] info: 	DB Initialized
[2024-12-12 11:53:31.028 AM] error: 	Autentication Failed false
[2024-12-12 11:53:31.066 AM] info: 	Autentication Success
[2024-12-12 11:53:31.066 AM] info: 	BEFORE DB Get Connection
[2024-12-12 11:53:31.242 AM] info: 	BEFORE DB Execution
[2024-12-12 11:53:31.285 AM] info: 	AFTER DB Execution Success
[2024-12-12 11:53:31.285 AM] info: 	BEFORE DB Connection Close
[2024-12-12 11:53:31.286 AM] info: 	BEFORE DB Get Connection
[2024-12-12 11:53:31.290 AM] info: 	AFTER DB Connection Close
[2024-12-12 11:53:31.336 AM] info: 	BEFORE DB Execution
[2024-12-12 11:53:31.341 AM] info: 	AFTER DB Execution Success
[2024-12-12 11:53:31.342 AM] info: 	BEFORE DB Connection Close
[2024-12-12 11:53:31.342 AM] info: 	BEFORE DB Get Connection
[2024-12-12 11:53:31.345 AM] info: 	AFTER DB Connection Close
[2024-12-12 11:53:31.373 AM] info: 	BEFORE DB Execution
[2024-12-12 11:53:31.378 AM] info: 	AFTER DB Execution Success
[2024-12-12 11:53:31.379 AM] info: 	BEFORE DB Connection Close
[2024-12-12 11:53:31.379 AM] info: 	BEFORE DB Get Connection
[2024-12-12 11:53:31.384 AM] info: 	AFTER DB Connection Close
[2024-12-12 11:53:31.418 AM] info: 	BEFORE DB Execution
[2024-12-12 11:53:31.463 AM] info: 	AFTER DB Execution Success
[2024-12-12 11:53:31.463 AM] info: 	BEFORE DB Connection Close
[2024-12-12 11:53:31.484 AM] info: 	AFTER DB Connection Close
[2024-12-12 11:53:31.613 AM] info: 	BEFORE DB Get Connection
[2024-12-12 11:53:31.656 AM] info: 	BEFORE DB Execution
[2024-12-12 11:53:31.699 AM] info: 	AFTER DB Execution Success
[2024-12-12 11:53:31.699 AM] info: 	BEFORE DB Connection Close
[2024-12-12 11:53:31.699 AM] info: 	BEFORE DB Get Connection
[2024-12-12 11:53:31.701 AM] info: 	AFTER DB Connection Close
[2024-12-12 11:53:31.722 AM] info: 	BEFORE DB Execution
[2024-12-12 11:53:31.753 AM] info: 	AFTER DB Execution Success
[2024-12-12 11:53:31.754 AM] info: 	BEFORE DB Connection Close
[2024-12-12 11:53:31.754 AM] info: 	BEFORE DB Get Connection
[2024-12-12 11:53:31.756 AM] info: 	AFTER DB Connection Close
[2024-12-12 11:53:31.777 AM] info: 	BEFORE DB Execution
[2024-12-12 11:53:31.780 AM] info: 	AFTER DB Execution Success
[2024-12-12 11:53:31.780 AM] info: 	BEFORE DB Connection Close
[2024-12-12 11:53:31.780 AM] info: 	BEFORE DB Get Connection
[2024-12-12 11:53:31.782 AM] info: 	AFTER DB Connection Close
[2024-12-12 11:53:31.802 AM] info: 	BEFORE DB Execution
[2024-12-12 11:53:31.805 AM] info: 	AFTER DB Execution Success
[2024-12-12 11:53:31.805 AM] info: 	BEFORE DB Connection Close
[2024-12-12 11:53:31.805 AM] info: 	BEFORE DB Get Connection
[2024-12-12 11:53:31.807 AM] info: 	AFTER DB Connection Close
[2024-12-12 11:53:31.827 AM] info: 	BEFORE DB Execution
[2024-12-12 11:53:31.829 AM] info: 	AFTER DB Execution Success
[2024-12-12 11:53:31.830 AM] info: 	BEFORE DB Connection Close
[2024-12-12 11:53:31.830 AM] info: 	BEFORE DB Get Connection
[2024-12-12 11:53:31.832 AM] info: 	AFTER DB Connection Close
