[2024-12-13 12:40:18.975 PM] info: 	DB Initialized
[2024-12-13 12:41:17.851 PM] error: 	Autentication Failed false
[2024-12-13 12:41:17.884 PM] info: 	Autentication Success
[2024-12-13 12:41:17.885 PM] info: 	BEFORE DB Get Connection
[2024-12-13 12:41:17.994 PM] info: 	BEFORE DB Execution
[2024-12-13 12:41:18.079 PM] info: 	AFTER DB Execution Success
[2024-12-13 12:41:18.080 PM] info: 	BEFORE DB Connection Close
[2024-12-13 12:41:18.080 PM] info: 	BEFORE DB Get Connection
[2024-12-13 12:41:18.085 PM] info: 	AFTER DB Connection Close
[2024-12-13 12:41:18.124 PM] info: 	BEFORE DB Execution
[2024-12-13 12:41:18.183 PM] info: 	AFTER DB Execution Success
[2024-12-13 12:41:18.183 PM] info: 	BEFORE DB Connection Close
[2024-12-13 12:41:18.198 PM] info: 	AFTER DB Connection Close
[2024-12-13 12:41:20.121 PM] info: 	BEFORE DB Get Connection
[2024-12-13 12:41:20.154 PM] info: 	BEFORE DB Execution
[2024-12-13 12:41:20.205 PM] info: 	AFTER DB Execution Success
[2024-12-13 12:41:20.205 PM] info: 	BEFORE DB Connection Close
[2024-12-13 12:41:20.205 PM] info: 	BEFORE DB Get Connection
[2024-12-13 12:41:20.207 PM] info: 	AFTER DB Connection Close
[2024-12-13 12:41:20.245 PM] info: 	BEFORE DB Execution
[2024-12-13 12:41:20.276 PM] info: 	AFTER DB Execution Success
[2024-12-13 12:41:20.276 PM] info: 	BEFORE DB Connection Close
[2024-12-13 12:41:20.276 PM] info: 	BEFORE DB Get Connection
[2024-12-13 12:41:20.279 PM] info: 	AFTER DB Connection Close
[2024-12-13 12:41:20.313 PM] info: 	BEFORE DB Execution
[2024-12-13 12:41:20.317 PM] info: 	AFTER DB Execution Success
[2024-12-13 12:41:20.317 PM] info: 	BEFORE DB Connection Close
[2024-12-13 12:41:20.318 PM] info: 	BEFORE DB Get Connection
[2024-12-13 12:41:20.320 PM] info: 	AFTER DB Connection Close
[2024-12-13 12:41:20.342 PM] info: 	BEFORE DB Execution
[2024-12-13 12:41:20.345 PM] info: 	AFTER DB Execution Success
[2024-12-13 12:41:20.345 PM] info: 	BEFORE DB Connection Close
[2024-12-13 12:41:20.345 PM] info: 	BEFORE DB Get Connection
[2024-12-13 12:41:20.347 PM] info: 	AFTER DB Connection Close
[2024-12-13 12:41:20.376 PM] info: 	BEFORE DB Execution
[2024-12-13 12:41:20.378 PM] info: 	AFTER DB Execution Success
[2024-12-13 12:41:20.378 PM] info: 	BEFORE DB Connection Close
[2024-12-13 12:41:20.378 PM] info: 	BEFORE DB Get Connection
